stable_ref,paragraph_id,decision_id,action,start,end,suppressed_token
LDC.T01.SEC014.P005,ldc_t01_sec014_p005,LEAD-00001,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T01.SEC014.P006,ldc_t01_sec014_p006,LEAD-00002,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T01.SEC014.P007,ldc_t01_sec014_p007,LEAD-00003,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T01.SEC014.P008,ldc_t01_sec014_p008,LEAD-00004,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T01.SEC014.P009,ldc_t01_sec014_p009,LEAD-00005,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T01.SEC092.P004,ldc_t01_sec092_p004,LEAD-00006,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T01.SEC095.P013,ldc_t01_sec095_p013,LEAD-00007,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T02.1899-10-14.E001.P044,ldc_t02_1899_10_14_e001_p044,LEAD-00008,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T03.1899-12-21.E001.P012,ldc_t03_1899_12_21_e001_p012,LEAD-00009,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T03.1900-01-06.E001.P003,ldc_t03_1900_01_06_e001_p003,LEAD-00010,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T03.1900-01-06.E001.P004,ldc_t03_1900_01_06_e001_p004,LEAD-00011,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T03.1900-01-12.E001.P039,ldc_t03_1900_01_12_e001_p039,LEAD-00012,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T04.1900-09-12.E001.P004,ldc_t04_1900_09_12_e001_p004,LEAD-00013,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T04.1900-09-22.E001.P003,ldc_t04_1900_09_22_e001_p003,LEAD-00014,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T04.1900-10-10.E001.P025,ldc_t04_1900_10_10_e001_p025,LEAD-00015,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T04.1900-10-12.E001.P002,ldc_t04_1900_10_12_e001_p002,LEAD-00016,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T04.1900-10-22.E001.P012,ldc_t04_1900_10_22_e001_p012,LEAD-00017,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T04.1900-12-03.E001.P002,ldc_t04_1900_12_03_e001_p002,LEAD-00018,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T04.1900-12-25.E001.P018,ldc_t04_1900_12_25_e001_p018,LEAD-00019,SUPPRESS_LAYOUT_MARKER,0,2,'- '
LDC.T04.1901-01-16.E001.P013,ldc_t04_1901_01_16_e001_p013,LEAD-00020,SUPPRESS_LAYOUT_MARKER,0,2,'- '
