head_ref,fragment_ref,head_last_role,fragment_first_role,flow_id,visual_continuity,speech_run_decision,decision,reason
LDC.T22.E0018.P065,LDC.T22.E0018.P069,JESUS,NARRATIVE,FLOW.T22.P065-P069..E0018,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T30.E0008.P170,LDC.T30.E0008.P173,JESUS,NARRATIVE,FLOW.T30.P170-P174..E0008,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T30.E0008.P170,LDC.T30.E0008.P174,JESUS,NARRATIVE,FLOW.T30.P170-P174..E0008,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T30.E0015.P005,LDC.T30.E0015.P006,NARRATIVE,LUISA,FLOW.T30.P005-P006..E0015,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T30.E0021.P098,LDC.T30.E0021.P099,NARRATIVE,JESUS,FLOW.T30.P098-P102..E0021,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T30.E0021.P098,LDC.T30.E0021.P100,NARRATIVE,JESUS,FLOW.T30.P098-P102..E0021,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T30.E0021.P098,LDC.T30.E0021.P101,NARRATIVE,JESUS,FLOW.T30.P098-P102..E0021,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T30.E0021.P098,LDC.T30.E0021.P102,NARRATIVE,JESUS,FLOW.T30.P098-P102..E0021,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T30.E0023.P071,LDC.T30.E0023.P072,JESUS,LUISA,FLOW.T30.P071-P075..E0023,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
LDC.T14.E0002.P014,LDC.T14.E0002.P018,PERSONIFIED_VOICE,JESUS,FLOW.T14.P014-P021..E0002,preserved,terminate_run_at_boundary,approved_visual_join_no_run_link,role changes at the boundary; styling switches at the exact offset and the speech run must not span it
