flow_id,entry_id,classification,member_index,paragraph_id,stable_ref,canonical_length,display_joiner,speech_run_policy,suppress_next_leading_ranges
FLOW.T01.P005-P009.sec014,ldc_t01_sec014,inherited_dash_continuation,0,ldc_t01_sec014_p005,LDC.T01.SEC014.P005,179,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T01.P005-P009.sec014,ldc_t01_sec014,inherited_dash_continuation,1,ldc_t01_sec014_p006,LDC.T01.SEC014.P006,190,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T01.P005-P009.sec014,ldc_t01_sec014,inherited_dash_continuation,2,ldc_t01_sec014_p007,LDC.T01.SEC014.P007,148,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T01.P005-P009.sec014,ldc_t01_sec014,inherited_dash_continuation,3,ldc_t01_sec014_p008,LDC.T01.SEC014.P008,252,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T01.P005-P009.sec014,ldc_t01_sec014,inherited_dash_continuation,4,ldc_t01_sec014_p009,LDC.T01.SEC014.P009,122,,,[]
FLOW.T01.P012-P013.sec095,ldc_t01_sec095,inherited_dash_continuation,0,ldc_t01_sec095_p012,LDC.T01.SEC095.P012,114,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T01.P012-P013.sec095,ldc_t01_sec095,inherited_dash_continuation,1,ldc_t01_sec095_p013,LDC.T01.SEC095.P013,101,,,[]
FLOW.T03.P003-P004.6_e001,ldc_t03_1900_01_06_e001,inherited_dash_continuation,0,ldc_t03_1900_01_06_e001_p003,LDC.T03.1900-01-06.E001.P003,159,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T03.P003-P004.6_e001,ldc_t03_1900_01_06_e001,inherited_dash_continuation,1,ldc_t03_1900_01_06_e001_p004,LDC.T03.1900-01-06.E001.P004,228,,,[]
FLOW.T03.P038-P039.2_e001,ldc_t03_1900_01_12_e001,inherited_dash_continuation,0,ldc_t03_1900_01_12_e001_p038,LDC.T03.1900-01-12.E001.P038,122,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T03.P038-P039.2_e001,ldc_t03_1900_01_12_e001,inherited_dash_continuation,1,ldc_t03_1900_01_12_e001_p039,LDC.T03.1900-01-12.E001.P039,143,,,[]
FLOW.T04.P003-P004.2_e001,ldc_t04_1900_09_12_e001,inherited_dash_continuation,0,ldc_t04_1900_09_12_e001_p003,LDC.T04.1900-09-12.E001.P003,344,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T04.P003-P004.2_e001,ldc_t04_1900_09_12_e001,inherited_dash_continuation,1,ldc_t04_1900_09_12_e001_p004,LDC.T04.1900-09-12.E001.P004,168,,,[]
FLOW.T04.P002-P003.2_e001,ldc_t04_1900_09_22_e001,inherited_dash_continuation,0,ldc_t04_1900_09_22_e001_p002,LDC.T04.1900-09-22.E001.P002,75,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T04.P002-P003.2_e001,ldc_t04_1900_09_22_e001,inherited_dash_continuation,1,ldc_t04_1900_09_22_e001_p003,LDC.T04.1900-09-22.E001.P003,254,,,[]
FLOW.T04.P024-P025.0_e001,ldc_t04_1900_10_10_e001,inherited_dash_continuation,0,ldc_t04_1900_10_10_e001_p024,LDC.T04.1900-10-10.E001.P024,187,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T04.P024-P025.0_e001,ldc_t04_1900_10_10_e001,inherited_dash_continuation,1,ldc_t04_1900_10_10_e001_p025,LDC.T04.1900-10-10.E001.P025,29,,,[]
FLOW.T04.P001-P002.2_e001,ldc_t04_1900_10_12_e001,inherited_dash_continuation,0,ldc_t04_1900_10_12_e001_p001,LDC.T04.1900-10-12.E001.P001,70,space,terminate_run_at_boundary,"[[0, 2]]"
FLOW.T04.P001-P002.2_e001,ldc_t04_1900_10_12_e001,inherited_dash_continuation,1,ldc_t04_1900_10_12_e001_p002,LDC.T04.1900-10-12.E001.P002,244,,,[]
FLOW.T04.P003-P004.2_e001,ldc_t04_1900_10_22_e001,sentence_continuation,0,ldc_t04_1900_10_22_e001_p003,LDC.T04.1900-10-22.E001.P003,160,space,continue_same_speaker_only,[]
FLOW.T04.P003-P004.2_e001,ldc_t04_1900_10_22_e001,sentence_continuation,1,ldc_t04_1900_10_22_e001_p004,LDC.T04.1900-10-22.E001.P004,156,,,[]
FLOW.T04.P011-P012.2_e001,ldc_t04_1900_10_22_e001,inherited_dash_continuation,0,ldc_t04_1900_10_22_e001_p011,LDC.T04.1900-10-22.E001.P011,172,space,continue_same_speaker_only,"[[0, 2]]"
FLOW.T04.P011-P012.2_e001,ldc_t04_1900_10_22_e001,inherited_dash_continuation,1,ldc_t04_1900_10_22_e001_p012,LDC.T04.1900-10-22.E001.P012,47,,,[]
